WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR2023-009559,Kings,,18S,20E,16,M18S20E16,60.0,Water Supply Irrigation - Agriculture,1670371200000,36.363675694444446,-119.81095377777777,ocr,36.363675694444446,-119.81095377777777,36.3636757,-119.8109538,pdfs/WCR2023-009559.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505144713656,South Fork Kings GSA
WCR2023-011324,Kings,,18S,20E,33,M18S20E33,75.0,Water Supply Irrigation - Agriculture,1671494400000,36.31629,-119.80384,gis,,,36.31629,-119.80384,pdfs/WCR2023-011324.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1399372057325,South Fork Kings GSA
WCR2023-009402,Kings,,18S,20E,22,M18S20E22,300.0,Water Supply Irrigation - Agriculture,1686873600000,36.346034,-119.794865,gis,,,36.346034,-119.794865,pdfs/WCR2023-009402.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505148700009,South Fork Kings GSA
WCR2023-010393,Kings,609 VINE ST,19S,20E,10,M19S20E10,500.0,Water Supply Domestic,1632700800000,36.288515,-119.790214,gis,,,36.288515,-119.790214,pdfs/WCR2023-010393.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505153097142,South Fork Kings GSA
WCR2023-009705,Kings,16638 FLINT AVE,18S,20E,13,M18S20E13,60.0,Water Supply Irrigation - Agriculture,1670198400000,36.37146547222222,-119.75636877777778,ocr,36.37146547222222,-119.75636877777778,36.3714655,-119.7563688,pdfs/WCR2023-009705.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505153562120,South Fork Kings GSA
WCR2023-009706,Kings,16631 FLINT AVE,18S,20E,13,M18S20E13,60.0,Water Supply Irrigation - Agriculture,1670198400000,36.37151169444444,-119.75551919444445,ocr,36.37151169444444,-119.75551919444445,36.3715117,-119.7555192,pdfs/WCR2023-009706.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505145574944,South Fork Kings GSA
WCR2023-009707,Kings,19951 GRANGEVILLE BLVD,18S,20E,28,M18S20E28,70.0,Water Supply Irrigation - Agriculture,1668470400000,36.340971,-119.812623,ocr,36.340971,-119.812623,36.340971,-119.812623,pdfs/WCR2023-009707.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505148638155,South Fork Kings GSA
WCR2023-009709,Kings,19951 GRANGEVILLE BLVD,18S,20E,28,M18S20E28,70.0,Water Supply Irrigation - Agriculture,1668470400000,36.341735972222224,-119.81667,ocr,36.341735972222224,-119.81667,36.341736,-119.81667,pdfs/WCR2023-009709.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505153788621,South Fork Kings GSA
WCR2024-000018,Kings,19800 Hanford/Armona RD,18S,20E,33,M18S20E33,48.0,Water Supply Domestic,1695427200000,36.316362999999996,-119.8138,ocr,36.316362999999996,-119.8138,36.316363,-119.8138,pdfs/WCR2024-000018.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505151320851,South Fork Kings GSA
WCR2023-012166,Kings,16380 Excelsior AVE,17S,20E,36,M17S20E36,220.0,Water Supply Domestic,1680566400000,36.41189997222222,-119.75046,ocr,36.41189997222222,-119.75046,36.4119,-119.75046,pdfs/WCR2023-012166.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505145038338,South Fork Kings GSA
